"","ExcelID","family","species","ReptileElevation","year","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","basisOfRecord","locality"
"1",318063,"Cheloniidae","Caretta caretta",0,2013,20.681,-156.443,100,"HUMAN_OBSERVATION","Wailea Beach"
"2",318064,"Cheloniidae","Caretta caretta",0,2013,20.7338,-156.923,100,"HUMAN_OBSERVATION","Second Cathedral"
"3",318062,"Cheloniidae","Caretta caretta",0,2013,20.734,-156.949,100,"HUMAN_OBSERVATION","Wilson's Lair"
"4",318056,"Cheloniidae","Caretta caretta",0,2010,21.872,-159.455,100,"HUMAN_OBSERVATION","Poipu Beach Park"
"5",442368,"Cheloniidae","Caretta caretta",0,1998,24.3877,-81.1082,1000,"HUMAN_OBSERVATION",""
"6",443373,"Cheloniidae","Caretta caretta",0,NA,24.4995,-81.8507,1000,"HUMAN_OBSERVATION",""
"7",443369,"Cheloniidae","Caretta caretta",0,NA,24.4998,-81.7212,1000,"HUMAN_OBSERVATION",""
"8",443371,"Cheloniidae","Caretta caretta",0,NA,24.5,-82.1194,1000,"HUMAN_OBSERVATION",""
"9",443368,"Cheloniidae","Caretta caretta",0,NA,24.5004,-81.6794,1000,"HUMAN_OBSERVATION",""
"10",443370,"Cheloniidae","Caretta caretta",0,NA,24.5004,-81.7002,1000,"HUMAN_OBSERVATION",""
"11",443372,"Cheloniidae","Caretta caretta",0,NA,24.5004,-81.6744,1000,"HUMAN_OBSERVATION",""
"12",443374,"Cheloniidae","Caretta caretta",0,NA,24.5004,-81.7002,1000,"HUMAN_OBSERVATION",""
"13",443376,"Cheloniidae","Caretta caretta",0,NA,24.5004,-81.6794,1000,"HUMAN_OBSERVATION",""
"14",795067,"Cheloniidae","Caretta caretta",0,1864,24.55,-82,NA,"HUMAN_OBSERVATION",""
"15",657360,"Cheloniidae","Caretta caretta",0,2015,24.553358,-82.249391,30069,"HUMAN_OBSERVATION",""
"16",442388,"Cheloniidae","Caretta caretta",0,NA,24.583,-82.9177,1000,"HUMAN_OBSERVATION",""
"17",442362,"Cheloniidae","Caretta caretta",0,NA,24.5832,-81.3961,1000,"HUMAN_OBSERVATION",""
"18",442382,"Cheloniidae","Caretta caretta",0,NA,24.5832,-82.5241,1000,"HUMAN_OBSERVATION",""
"19",442365,"Cheloniidae","Caretta caretta",0,NA,24.5834,-81.3009,1000,"HUMAN_OBSERVATION",""
"20",442378,"Cheloniidae","Caretta caretta",0,NA,24.5836,-82.3458,1000,"HUMAN_OBSERVATION",""
"21",442367,"Cheloniidae","Caretta caretta",0,NA,24.5838,-81.3098,1000,"HUMAN_OBSERVATION",""
"22",442826,"Cheloniidae","Caretta caretta",0,NA,24.6663,-82.2118,1000,"HUMAN_OBSERVATION",""
"23",442823,"Cheloniidae","Caretta caretta",0,NA,24.6664,-82.2005,1000,"HUMAN_OBSERVATION",""
"24",442827,"Cheloniidae","Caretta caretta",0,NA,24.6665,-82.7681,1000,"HUMAN_OBSERVATION",""
"25",442824,"Cheloniidae","Caretta caretta",0,NA,24.6667,-82.1787,1000,"HUMAN_OBSERVATION",""
"26",442798,"Cheloniidae","Caretta caretta",0,NA,24.6668,-81.8498,1000,"HUMAN_OBSERVATION",""
"27",442799,"Cheloniidae","Caretta caretta",0,NA,24.6668,-81.8498,1000,"HUMAN_OBSERVATION",""
"28",442816,"Cheloniidae","Caretta caretta",0,NA,24.6668,-82.1918,1000,"HUMAN_OBSERVATION",""
"29",442802,"Cheloniidae","Caretta caretta",0,NA,24.6669,-81.1107,1000,"HUMAN_OBSERVATION",""
"30",442808,"Cheloniidae","Caretta caretta",0,NA,24.6671,-81.6873,1000,"HUMAN_OBSERVATION",""
"31",918452,"Cheloniidae","Caretta caretta",0,2019,24.74234,-81.254443,30047,"HUMAN_OBSERVATION",""
"32",442369,"Cheloniidae","Caretta caretta",0,NA,24.7496,-80.9954,1000,"HUMAN_OBSERVATION",""
"33",442372,"Cheloniidae","Caretta caretta",0,NA,24.7498,-80.7941,1000,"HUMAN_OBSERVATION",""
"34",442364,"Cheloniidae","Caretta caretta",0,NA,24.7499,-81.296,1000,"HUMAN_OBSERVATION",""
"35",280706,"Cheloniidae","Caretta caretta",0,2016,24.758131,-81.405305,30036,"HUMAN_OBSERVATION",""
"36",10666,"Cheloniidae","Caretta caretta",0,2014,24.76324,-82.869329,30047,"HUMAN_OBSERVATION",""
"37",500167,"Cheloniidae","Caretta caretta",0,2017,24.801369,-80.863162,30014,"HUMAN_OBSERVATION",""
"38",679306,"Cheloniidae","Caretta caretta",5,2013,24.916104,-80.643623,30025,"HUMAN_OBSERVATION",""
"39",443065,"Cheloniidae","Caretta caretta",0,NA,24.9163,-80.5946,1000,"HUMAN_OBSERVATION",""
"40",443070,"Cheloniidae","Caretta caretta",0,NA,24.9163,-80.5946,1000,"HUMAN_OBSERVATION",""
